GridID,Category,SubstGroup,Substance,Type,Tissue,Unit,BASIS,Threshold,Value,CR
100kmE29N33,Water,Metals,AS,,,µg/l,,3.5,1.66,0.474285714
100kmE29N33,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE29N33,Water,Metals,CU,,,µg/l,,0.02,0.05,2.5
100kmE29N33,Water,Metals,NI,,,µg/l,,8.6,0.15,0.01744186
100kmE29N33,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE30N28,Water,PAHs,ANT,,,µg/l,,0.1,2.00E-06,2.00E-05
100kmE30N28,Water,PAHs,BAP,,,µg/l,,0.00017,8.00E-06,0.047058824
100kmE30N28,Water,PCBs,CB138,,,µg/l,,2.00E-05,1.00E-06,0.05
100kmE30N28,Water,PCBs,CB153,,,µg/l,,0.001,9.00E-07,9.00E-04
100kmE30N28,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,5.00E-07,5.00E-05
100kmE30N28,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,1.30E-06,5.20E-05
100kmE30N28,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,4.30E-06,0.00086
100kmE30N28,Water,PAHs,FLU,,,µg/l,,0.0063,1.61E-05,0.002555556
100kmE30N28,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,5.46E-05,0.0273
100kmE30N28,Water,PAHs,NAP,,,µg/l,,2,0.000502,0.000251
100kmE30N28,Water,PAHs,PA,,,µg/l,,1.3,7.77E-05,5.98E-05
100kmE30N28,Water,PAHs,PYR,,,µg/l,,0.023,1.30E-05,0.000565217
100kmE30N28,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,6.00E-07,0.000857143
100kmE30N28,Water,Organochlorines,TRF,,,µg/l,,0.03,1.10E-06,3.67E-05
100kmE30N32,Water,Metals,AS,,,µg/l,,3.5,1.485,0.424285714
100kmE30N32,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE30N32,Water,Metals,CU,,,µg/l,,0.02,0.28,14
100kmE30N32,Water,Metals,NI,,,µg/l,,8.6,0.155,0.018023256
100kmE30N32,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE30N33,Water,Metals,AS,,,µg/l,,3.5,2,0.571428571
100kmE30N33,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE30N33,Water,Metals,CU,,,µg/l,,0.02,0.12,6
100kmE30N33,Water,Metals,NI,,,µg/l,,8.6,0.18,0.020930233
100kmE30N33,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE31N30,Water,PAHs,ANT,,,µg/l,,0.1,2.50E-06,2.50E-05
100kmE31N30,Water,PAHs,BAP,,,µg/l,,0.00017,6.00E-06,0.035294118
100kmE31N30,Water,PCBs,CB138,,,µg/l,,2.00E-05,1.18E-06,0.05875
100kmE31N30,Water,PCBs,CB153,,,µg/l,,0.001,1.63E-06,0.001625
100kmE31N30,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,3.00E-07,3.00E-05
100kmE31N30,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,9.00E-07,3.60E-05
100kmE31N30,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,8.48E-06,0.001695
100kmE31N30,Water,PAHs,FLU,,,µg/l,,0.0063,4.09E-05,0.006499206
100kmE31N30,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,6.71E-05,0.0335425
100kmE31N30,Water,PAHs,NAP,,,µg/l,,2,0.000379825,0.000189913
100kmE31N30,Water,PAHs,PA,,,µg/l,,1.3,8.58E-05,6.60E-05
100kmE31N30,Water,PAHs,PYR,,,µg/l,,0.023,1.67E-05,0.000726087
100kmE31N30,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,9.50E-07,0.001357143
100kmE31N30,Water,Organochlorines,TRF,,,µg/l,,0.03,6.00E-07,2.00E-05
100kmE32N33,Water,Metals,AS,,,µg/l,,3.5,1.49,0.425714286
100kmE32N33,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE32N33,Water,Metals,CU,,,µg/l,,0.02,0.175,8.75
100kmE32N33,Water,Metals,NI,,,µg/l,,8.6,0.185,0.021511628
100kmE32N33,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE32N34,Water,Metals,AS,,,µg/l,,3.5,1.79,0.511428571
100kmE32N34,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE32N34,Water,Metals,CU,,,µg/l,,0.02,0.37,18.5
100kmE32N34,Water,Metals,NI,,,µg/l,,8.6,0.245,0.028488372
100kmE32N34,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE33N34,Water,Metals,AS,,,µg/l,,3.5,1.72,0.491428571
100kmE33N34,Water,Metals,CD,,,µg/l,,0.2,0.025,0.125
100kmE33N34,Water,Metals,CU,,,µg/l,,0.02,0.2,10
100kmE33N34,Water,Metals,NI,,,µg/l,,8.6,0.23,0.026744186
100kmE33N34,Water,Metals,PB,,,µg/l,,1.3,0.05,0.038461538
100kmE34N30,Water,PAHs,ANT,,,µg/l,,0.1,3.00E-06,3.00E-05
100kmE34N30,Water,PAHs,BAP,,,µg/l,,0.00017,7.00E-06,0.041176471
100kmE34N30,Water,PCBs,CB138,,,µg/l,,2.00E-05,9.00E-07,0.045
100kmE34N30,Water,PCBs,CB153,,,µg/l,,0.001,1.90E-06,0.0019
100kmE34N30,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,3.50E-07,3.50E-05
100kmE34N30,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,7.40E-07,2.96E-05
100kmE34N30,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,1.52E-05,0.00303
100kmE34N30,Water,PAHs,FLU,,,µg/l,,0.0063,4.43E-05,0.007030159
100kmE34N30,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,4.49E-05,0.022435
100kmE34N30,Water,PAHs,NAP,,,µg/l,,2,0.000229565,0.000114783
100kmE34N30,Water,PAHs,PA,,,µg/l,,1.3,0.00011036,8.49E-05
100kmE34N30,Water,PAHs,PYR,,,µg/l,,0.023,1.55E-05,0.000673913
100kmE34N30,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,1.20E-06,0.001714286
100kmE34N30,Water,Organochlorines,TRF,,,µg/l,,0.03,2.79E-06,9.30E-05
100kmE34N41,Water,PAHs,ANT,,,µg/l,,0.1,1.50E-06,1.50E-05
100kmE34N41,Water,PAHs,BAP,,,µg/l,,0.00017,2.00E-06,0.011764706
100kmE34N41,Water,PCBs,CB138,,,µg/l,,2.00E-05,4.80E-07,0.024
100kmE34N41,Water,PCBs,CB153,,,µg/l,,0.001,5.00E-07,5.00E-04
100kmE34N41,Water,Other organohalogens,DDTPP,,,µg/l,,0.01,2.60E-07,2.60E-05
100kmE34N41,Water,Other organohalogens,DDTSUM,,,µg/l,,0.025,1.26E-06,5.02E-05
100kmE34N41,Water,Other organohalogens,DLDALD,,,µg/l,,0.005,4.56E-06,0.000911
100kmE34N41,Water,PAHs,FLU,,,µg/l,,0.0063,1.40E-05,0.002222222
100kmE34N41,Water,Other organohalogens,HCHSUM,,,µg/l,,0.002,5.73E-05,0.02865
100kmE34N41,Water,PAHs,NAP,,,µg/l,,2,0.0012795,0.00063975
100kmE34N41,Water,PAHs,PA,,,µg/l,,1.3,4.80E-05,3.69E-05
100kmE34N41,Water,PAHs,PYR,,,µg/l,,0.023,3.50E-06,0.000152174
100kmE34N41,Water,Organochlorines,QCB,,,µg/l,,7.00E-04,7.00E-07,0.001
100kmE34N41,Water,Organochlorines,TRF,,,µg/l,,0.03,5.25E-07,1.75E-05
100kmE36N35,Water,Metals,CU,,,µg/l,,0.02,0.143075,7.15375
