XCoord;YCoord;GRIDCODE;REGION
5150000.00000000;5450000.00000000;100kmE51N54;North-east Atlantic Ocean
5190000.00000000;850000.00000000;20kmE518N84;Mediterranean Sea
5210000.00000000;850000.00000000;20kmE520N84;Mediterranean Sea
5230000.00000000;850000.00000000;20kmE522N84;Mediterranean Sea
5150000.00000000;870000.00000000;20kmE514N86;Mediterranean Sea
5170000.00000000;870000.00000000;20kmE516N86;Mediterranean Sea
5190000.00000000;870000.00000000;20kmE518N86;Mediterranean Sea
5210000.00000000;870000.00000000;20kmE520N86;Mediterranean Sea
5230000.00000000;870000.00000000;20kmE522N86;Mediterranean Sea
5250000.00000000;870000.00000000;20kmE524N86;Mediterranean Sea
5270000.00000000;870000.00000000;20kmE526N86;Mediterranean Sea
5110000.00000000;890000.00000000;20kmE510N88;Mediterranean Sea
5130000.00000000;890000.00000000;20kmE512N88;Mediterranean Sea
5150000.00000000;890000.00000000;20kmE514N88;Mediterranean Sea
5170000.00000000;890000.00000000;20kmE516N88;Mediterranean Sea
5230000.00000000;890000.00000000;20kmE522N88;Mediterranean Sea
5250000.00000000;890000.00000000;20kmE524N88;Mediterranean Sea
5270000.00000000;890000.00000000;20kmE526N88;Mediterranean Sea
5290000.00000000;890000.00000000;20kmE528N88;Mediterranean Sea
5050000.00000000;910000.00000000;20kmE504N90;Mediterranean Sea
5070000.00000000;910000.00000000;20kmE506N90;Mediterranean Sea
5090000.00000000;910000.00000000;20kmE508N90;Mediterranean Sea
5110000.00000000;910000.00000000;20kmE510N90;Mediterranean Sea
5130000.00000000;910000.00000000;20kmE512N90;Mediterranean Sea
5270000.00000000;910000.00000000;20kmE526N90;Mediterranean Sea
5290000.00000000;910000.00000000;20kmE528N90;Mediterranean Sea
1790000.00000000;930000.00000000;20kmE178N92;North-east Atlantic Ocean
1910000.00000000;930000.00000000;20kmE190N92;North-east Atlantic Ocean
1930000.00000000;930000.00000000;20kmE192N92;North-east Atlantic Ocean
4890000.00000000;930000.00000000;20kmE488N92;Mediterranean Sea
4910000.00000000;930000.00000000;20kmE490N92;Mediterranean Sea
4930000.00000000;930000.00000000;20kmE492N92;Mediterranean Sea
4950000.00000000;930000.00000000;20kmE494N92;Mediterranean Sea
4970000.00000000;930000.00000000;20kmE496N92;Mediterranean Sea
4990000.00000000;930000.00000000;20kmE498N92;Mediterranean Sea
5010000.00000000;930000.00000000;20kmE500N92;Mediterranean Sea
5030000.00000000;930000.00000000;20kmE502N92;Mediterranean Sea
5050000.00000000;930000.00000000;20kmE504N92;Mediterranean Sea
5070000.00000000;930000.00000000;20kmE506N92;Mediterranean Sea
5090000.00000000;930000.00000000;20kmE508N92;Mediterranean Sea
5270000.00000000;930000.00000000;20kmE526N92;Mediterranean Sea
5290000.00000000;930000.00000000;20kmE528N92;Mediterranean Sea
5310000.00000000;930000.00000000;20kmE530N92;Mediterranean Sea
1770000.00000000;950000.00000000;20kmE176N94;North-east Atlantic Ocean
1790000.00000000;950000.00000000;20kmE178N94;North-east Atlantic Ocean
1810000.00000000;950000.00000000;20kmE180N94;North-east Atlantic Ocean
1830000.00000000;950000.00000000;20kmE182N94;North-east Atlantic Ocean
1890000.00000000;950000.00000000;20kmE188N94;North-east Atlantic Ocean
1910000.00000000;950000.00000000;20kmE190N94;North-east Atlantic Ocean
1930000.00000000;950000.00000000;20kmE192N94;North-east Atlantic Ocean
1950000.00000000;950000.00000000;20kmE194N94;North-east Atlantic Ocean
1970000.00000000;950000.00000000;20kmE196N94;North-east Atlantic Ocean
4850000.00000000;950000.00000000;20kmE484N94;Mediterranean Sea
4870000.00000000;950000.00000000;20kmE486N94;Mediterranean Sea
4890000.00000000;950000.00000000;20kmE488N94;Mediterranean Sea
4910000.00000000;950000.00000000;20kmE490N94;Mediterranean Sea
4930000.00000000;950000.00000000;20kmE492N94;Mediterranean Sea
4950000.00000000;950000.00000000;20kmE494N94;Mediterranean Sea
4970000.00000000;950000.00000000;20kmE496N94;Mediterranean Sea
4990000.00000000;950000.00000000;20kmE498N94;Mediterranean Sea
5010000.00000000;950000.00000000;20kmE500N94;Mediterranean Sea
5030000.00000000;950000.00000000;20kmE502N94;Mediterranean Sea
5290000.00000000;950000.00000000;20kmE528N94;Mediterranean Sea
5310000.00000000;950000.00000000;20kmE530N94;Mediterranean Sea
1770000.00000000;970000.00000000;20kmE176N96;North-east Atlantic Ocean
1790000.00000000;970000.00000000;20kmE178N96;North-east Atlantic Ocean
1810000.00000000;970000.00000000;20kmE180N96;North-east Atlantic Ocean
1830000.00000000;970000.00000000;20kmE182N96;North-east Atlantic Ocean
1930000.00000000;970000.00000000;20kmE192N96;North-east Atlantic Ocean
1950000.00000000;970000.00000000;20kmE194N96;North-east Atlantic Ocean
1970000.00000000;970000.00000000;20kmE196N96;North-east Atlantic Ocean
1990000.00000000;970000.00000000;20kmE198N96;North-east Atlantic Ocean
4850000.00000000;970000.00000000;20kmE484N96;Mediterranean Sea
4870000.00000000;970000.00000000;20kmE486N96;Mediterranean Sea
5290000.00000000;970000.00000000;20kmE528N96;Mediterranean Sea
5310000.00000000;970000.00000000;20kmE530N96;Mediterranean Sea
1710000.00000000;990000.00000000;20kmE170N98;North-east Atlantic Ocean
1770000.00000000;990000.00000000;20kmE176N98;North-east Atlantic Ocean
1790000.00000000;990000.00000000;20kmE178N98;North-east Atlantic Ocean
1810000.00000000;990000.00000000;20kmE180N98;North-east Atlantic Ocean
1830000.00000000;990000.00000000;20kmE182N98;North-east Atlantic Ocean
1950000.00000000;990000.00000000;20kmE194N98;North-east Atlantic Ocean
1970000.00000000;990000.00000000;20kmE196N98;North-east Atlantic Ocean
1990000.00000000;990000.00000000;20kmE198N98;North-east Atlantic Ocean
4830000.00000000;990000.00000000;20kmE482N98;Mediterranean Sea
4850000.00000000;990000.00000000;20kmE484N98;Mediterranean Sea
5270000.00000000;990000.00000000;20kmE526N98;Mediterranean Sea
5290000.00000000;990000.00000000;20kmE528N98;Mediterranean Sea
