XCoord;YCoord;OBJECTID;ID;COUNTRY;GRIDCODE;SHAPE_AREA
4395716.26760156;3582235.49302401;1;DEN-005;HELCOM;20kmE438N358;7840105.626992
4408017.91171578;3566750.49451642;2;DEN-006;HELCOM;20kmE440N356;9531225.974067
4413626.86594026;3567598.09760232;3;DEN-007;HELCOM;20kmE440N356;6525073.063598
4399855.84942481;3572056.22222378;4;DEN-009;HELCOM;20kmE438N356;99981.494578
4402597.34766828;3573071.47195636;5;DEN-009;HELCOM;20kmE440N356;5153882.965228
4393385.11029407;3592928.09597340;6;DEN-010;HELCOM;20kmE438N358;94096883.058593
4391925.74955073;3601057.94643428;7;DEN-010;HELCOM;20kmE438N360;9397269.238154
4377801.65915116;3630397.80926654;8;DEN-011;HELCOM;20kmE436N362;31430748.125544
4390114.92720377;3633384.22085374;9;DEN-011;HELCOM;20kmE438N362;258477035.400969
4404352.34679593;3634611.95907183;10;DEN-011;HELCOM;20kmE440N362;98023828.066718
4393395.11450127;3648200.21157828;11;DEN-011;HELCOM;20kmE438N364;218854926.975518
4407375.13050615;3645904.44110568;12;DEN-011;HELCOM;20kmE440N364;185601327.987990
4379541.93292891;3619367.01879572;13;DEN-012;HELCOM;20kmE436N360;1067635.684635
4385460.27116857;3619160.81651824;14;DEN-012;HELCOM;20kmE438N360;14553368.793771
4378340.21109291;3623830.71340102;15;DEN-012;HELCOM;20kmE436N362;11467416.437163
4382284.18641059;3623214.63112981;16;DEN-012;HELCOM;20kmE438N362;16469412.931870
4394084.88883845;3539449.83665912;17;DEN-013;HELCOM;20kmE438N352;3623870.317455
4413916.19228250;3534345.65886612;18;DEN-013;HELCOM;20kmE440N352;127971351.713723
4422790.63494351;3531337.31988816;19;DEN-013;HELCOM;20kmE442N352;51769790.773535
4396921.39120604;3541005.25598200;20;DEN-013;HELCOM;20kmE438N354;13315425.870416
4409071.40718383;3541710.19855486;21;DEN-013;HELCOM;20kmE440N354;53538162.501119
4429046.26007961;3565266.13286575;22;DEN-014;HELCOM;20kmE442N356;15456845.969196
4432797.07754545;3559388.40242666;23;DEN-015;HELCOM;20kmE442N354;4207616.730741
4433735.42993590;3561122.77904039;24;DEN-015;HELCOM;20kmE442N356;12903461.109568
4431377.08798642;3554226.11241339;25;DEN-016;HELCOM;20kmE442N354;40902508.273623
4439099.12992382;3512175.83420751;26;DEN-017;HELCOM;20kmE442N350;8477687.382260
4441424.25202911;3512199.93598691;27;DEN-017;HELCOM;20kmE444N350;24881169.986850
4432536.58185731;3531434.45736522;28;DEN-017;HELCOM;20kmE442N352;48089365.943699
4440366.37819968;3520460.56425469;29;DEN-017;HELCOM;20kmE444N352;626543.862599
4383492.92758211;3519321.85096000;30;DEN-018;HELCOM;20kmE438N350;3294191.153627
4385034.26169421;3530748.64598095;31;DEN-018;HELCOM;20kmE438N352;55742998.781292
4391806.61023861;3540126.17153305;32;DEN-018;HELCOM;20kmE438N354;368029.633735
4449938.05378607;3497691.14372664;33;DEN-019;HELCOM;20kmE444N348;13286777.696239
4452628.64171967;3510552.37171382;34;DEN-019;HELCOM;20kmE444N350;132866690.591105
4457706.53128870;3522472.79166228;35;DEN-019;HELCOM;20kmE444N352;24732536.229340
4469482.73177289;3533979.95712189;36;DEN-019;HELCOM;20kmE446N352;148431635.699549
4482280.33180078;3538669.65965940;37;DEN-019;HELCOM;20kmE448N352;13615441.537832
4474391.98752153;3541025.00878837;38;DEN-019;HELCOM;20kmE446N354;21664612.152908
4484504.36579041;3541188.07045811;39;DEN-019;HELCOM;20kmE448N354;9123539.799332
4450782.86849228;3535646.84115461;40;DEN-020;HELCOM;20kmE444N352;47845921.999917
4460864.31129358;3530781.70311015;41;DEN-020;HELCOM;20kmE446N352;6911092.409481
4439279.03007609;3542635.82781611;42;DEN-020;HELCOM;20kmE442N354;5923165.919602
4443998.95064676;3542495.88316108;43;DEN-020;HELCOM;20kmE444N354;40325462.190066
4459596.33317229;3559590.76789502;44;DEN-021;HELCOM;20kmE444N354;730744.443859
4471799.24710619;3555044.89036790;45;DEN-021;HELCOM;20kmE446N354;174624139.833153
4482292.02664157;3551620.04826542;46;DEN-021;HELCOM;20kmE448N354;49157177.393688
4458030.61280678;3564498.67855448;47;DEN-021;HELCOM;20kmE444N356;36156458.659676
4470862.53776601;3567259.57404076;48;DEN-021;HELCOM;20kmE446N356;281912593.146662
4480706.67978440;3563972.13374658;49;DEN-021;HELCOM;20kmE448N356;12631619.788356
4453202.09905715;3559710.13482340;50;DEN-022;HELCOM;20kmE444N354;1860081.929308
4452427.23567484;3562544.60258819;51;DEN-022;HELCOM;20kmE444N356;20005685.502534
4454314.46785581;3538470.24001342;52;DEN-023;HELCOM;20kmE444N352;19044817.591956
4456722.23716383;3546402.14963153;53;DEN-023;HELCOM;20kmE444N354;47118641.581607
4462779.95294677;3549269.69229440;54;DEN-023;HELCOM;20kmE446N354;66750354.733009
4468266.47451580;3543656.78086810;55;DEN-024;HELCOM;20kmE446N354;5187030.508673
4631661.88524516;3556784.36619178;56;DEN-025;HELCOM;20kmE462N354;43778799.424462
4645786.34378186;3554835.58633051;57;DEN-025;HELCOM;20kmE464N354;30156534.902043
4619490.46818823;3570137.08156461;58;DEN-025;HELCOM;20kmE460N356;17255393.718711
4626961.28511029;3571282.18593173;59;DEN-025;HELCOM;20kmE462N356;36140962.280567
4648122.82428585;3569097.36827343;60;DEN-025;HELCOM;20kmE464N356;45693106.986552
4619840.44493900;3580370.22197245;61;DEN-025;HELCOM;20kmE460N358;265818.552299
4625880.27988883;3584040.69675676;62;DEN-025;HELCOM;20kmE462N358;40397067.901742
4649904.10611429;3591688.20852646;63;DEN-026;HELCOM;20kmE464N358;18933757.842603
4339389.86763846;3610349.12714404;64;DEN-027;HELCOM;20kmE432N360;3789680.842843
4340318.38581831;3609784.28366765;65;DEN-027;HELCOM;20kmE434N360;1010665.508668
4359485.37528445;3602952.11907887;66;DEN-028;HELCOM;20kmE434N360;860888.564110
4359539.42216233;3609520.97255834;67;DEN-029;HELCOM;20kmE434N360;3230556.099646
4344704.74113600;3549150.38000708;68;DEN-030;HELCOM;20kmE434N354;6687719.136561
4364308.90698181;3550276.12355369;69;DEN-031;HELCOM;20kmE436N354;2860143.418122
4364343.94962564;3548451.95258902;70;DEN-032;HELCOM;20kmE436N354;1178898.401059
4365820.19812083;3531501.14318051;71;DEN-033;HELCOM;20kmE436N352;6891629.732616
4355631.79238332;3543468.26176650;72;DEN-034;HELCOM;20kmE434N354;222629.836511
4363833.63201455;3520645.53343760;73;DEN-035;HELCOM;20kmE436N352;83128.570672
4363818.74029184;3521308.52410729;74;DEN-036;HELCOM;20kmE436N352;255814.769086
4349275.20708205;3530839.17219940;75;DEN-037;HELCOM;20kmE434N352;10074514.883832
4312810.24982306;3583188.59909685;76;DEN-038;HELCOM;20kmE430N358;262072.742955
4313895.24168379;3581687.44299961;77;DEN-039;HELCOM;20kmE430N358;838001.093404
4332555.82219009;3609028.84774450;78;DEN-040;HELCOM;20kmE432N360;105261.303288
4308723.20576225;3594508.95830941;79;DEN-041;HELCOM;20kmE430N358;200159.749306
4306616.18790424;3594537.53361237;80;DEN-042;HELCOM;20kmE430N358;10314007.298848
4308811.51942057;3579577.55167392;81;DEN-043;HELCOM;20kmE430N356;263379.966201
4314398.55181582;3579261.85175371;82;DEN-044;HELCOM;20kmE430N356;171463.651533
4369558.51922286;3577106.49733555;83;DEN-045;HELCOM;20kmE436N356;504858.930186
4358811.94494131;3594700.85885532;84;DEN-046;HELCOM;20kmE434N358;1329620.454340
4361492.99944720;3593614.05434951;85;DEN-046;HELCOM;20kmE436N358;2052663.270179
4356881.91655118;3593056.43492921;86;DEN-047;HELCOM;20kmE434N358;5402651.180862
4372031.24924740;3576076.43840975;87;DEN-048;HELCOM;20kmE436N356;8095310.273632
4326728.64293439;3557714.58392128;88;DEN-049;HELCOM;20kmE432N354;32160761.274198
4319999.34743748;3564656.05347107;89;DEN-049;HELCOM;20kmE430N356;68.168003
4325121.44061209;3562294.91931710;90;DEN-049;HELCOM;20kmE432N356;34861063.870876
4362882.82493295;3543895.85913094;91;DEN-050;HELCOM;20kmE436N354;10680180.935831
4367571.42161851;3539737.36404836;92;DEN-051;HELCOM;20kmE436N352;667739.693230
4371170.35442737;3550193.83872352;93;DEN-051;HELCOM;20kmE436N354;154791970.919688
4375074.94201389;3564115.41944193;94;DEN-051;HELCOM;20kmE436N356;52318393.697282
4355513.46461919;3598278.86071866;95;DEN-052;HELCOM;20kmE434N358;26065007.782713
4360229.79184117;3598777.67422069;96;DEN-052;HELCOM;20kmE436N358;847668.362075
4352868.72450815;3603327.40993662;97;DEN-052;HELCOM;20kmE434N360;4674000.536543
4360093.28525749;3600106.96957676;98;DEN-052;HELCOM;20kmE436N360;44220.940260
4350065.53600411;3594974.89838278;99;DEN-053;HELCOM;20kmE434N358;15475053.092283
4369392.28218619;3516526.20648772;100;DEN-054;HELCOM;20kmE436N350;13683714.571519
4373629.64070594;3529939.28011704;101;DEN-054;HELCOM;20kmE436N352;43933136.713796
4378621.97348601;3544524.96645803;102;DEN-054;HELCOM;20kmE436N354;16815075.627837
4381504.03425768;3553115.33108024;103;DEN-054;HELCOM;20kmE438N354;25098361.543100
4376472.78898856;3570421.53970161;104;DEN-054;HELCOM;20kmE436N356;65311300.275594
4381497.22566119;3563907.98006406;105;DEN-054;HELCOM;20kmE438N356;17005210.326636
4374110.88489173;3578731.02703965;106;DEN-055;HELCOM;20kmE436N356;4622201.267107
4368448.88139346;3592224.39064711;107;DEN-055;HELCOM;20kmE436N358;60071540.611199
4359901.07993464;3613024.73136414;108;DEN-055;HELCOM;20kmE434N360;52082.204410
4367773.19448953;3603518.46446202;109;DEN-055;HELCOM;20kmE436N360;31189003.375298
4288585.22466310;3557445.70680783;110;DEN-056;HELCOM;20kmE428N354;5018995.700408
4289467.06875442;3548362.80839361;111;DEN-057;HELCOM;20kmE428N354;32886034.424083
4297802.31918884;3547000.95061349;112;DEN-058;HELCOM;20kmE428N354;15765655.326652
4303698.30762510;3544141.07344098;113;DEN-058;HELCOM;20kmE430N354;19397767.635676
4305659.27953514;3537203.11196857;114;DEN-059;HELCOM;20kmE430N352;3507705.836987
4304942.71832160;3541225.08955464;115;DEN-059;HELCOM;20kmE430N354;2016731.599664
4310008.01782981;3538384.05208311;116;DEN-060;HELCOM;20kmE430N352;7170598.677336
4308333.02225803;3541003.99835086;117;DEN-060;HELCOM;20kmE430N354;7946864.191564
4295885.70377368;3574050.20762920;118;DEN-061;HELCOM;20kmE428N356;5040372.860115
4300058.00861602;3575096.59418406;119;DEN-061;HELCOM;20kmE430N356;111773.982895
4297575.24558165;3578619.91744879;120;DEN-062;HELCOM;20kmE428N356;370991.263602
4294592.41005894;3584737.67246792;121;DEN-063;HELCOM;20kmE428N358;1896181.500018
4297568.82018463;3535025.81406284;122;DEN-064;HELCOM;20kmE428N352;8010195.490766
4300037.65461319;3534299.36760657;123;DEN-064;HELCOM;20kmE430N352;36129.913361
4289287.55275207;3528047.58685774;124;DEN-065;HELCOM;20kmE428N352;11618824.333173
4296899.84012084;3530121.38622863;125;DEN-066;HELCOM;20kmE428N352;16015760.023372
4310890.82340768;3528487.52493015;126;DEN-066;HELCOM;20kmE430N352;106346841.792387
4321948.30459026;3526774.60464778;127;DEN-066;HELCOM;20kmE432N352;21959539.629563
4310320.70795339;3617119.78375002;128;DEN-067;HELCOM;20kmE430N360;78131368.279055
4320331.39613132;3619752.27132854;129;DEN-067;HELCOM;20kmE432N360;369433.455036
4311187.82669584;3620642.05612765;130;DEN-067;HELCOM;20kmE430N362;10419478.420726
4321158.63167436;3620996.23057026;131;DEN-067;HELCOM;20kmE432N362;3519736.466697
4301227.59014103;3619939.68816167;132;DEN-068;HELCOM;20kmE430N360;22842.492404
4296750.44164490;3621816.05463254;133;DEN-068;HELCOM;20kmE428N362;11832959.124358
4300916.42579490;3621700.92872320;134;DEN-068;HELCOM;20kmE430N362;4578171.736896
4291120.66879910;3598783.34731822;135;DEN-069;HELCOM;20kmE428N358;4863195.145563
4295454.34404411;3599186.11420310;136;DEN-070;HELCOM;20kmE428N358;4371804.843848
4293880.08465639;3602584.78790064;137;DEN-070;HELCOM;20kmE428N360;22468.231429
4327290.97768374;3637060.81151580;138;DEN-071;HELCOM;20kmE432N362;30621571.522474
4329278.69068686;3640723.47418286;139;DEN-071;HELCOM;20kmE432N364;2097036.038722
4316924.60528477;3638280.21135443;140;DEN-072;HELCOM;20kmE430N362;19236713.322536
4321558.95816213;3638195.94387722;141;DEN-072;HELCOM;20kmE432N362;12319285.008265
4319165.51335046;3640781.87910484;142;DEN-072;HELCOM;20kmE430N364;2157545.256287
4324453.94151328;3640994.66346110;143;DEN-072;HELCOM;20kmE432N364;12529075.634355
4357604.07435576;3673412.59390651;144;DEN-079;HELCOM;20kmE434N366;55625756.954447
4361468.99176269;3674243.89223837;145;DEN-079;HELCOM;20kmE436N366;27208729.524817
4359070.41824235;3680283.64877399;146;DEN-079;HELCOM;20kmE434N368;1067038.327450
4360920.22947235;3680204.04635428;147;DEN-079;HELCOM;20kmE436N368;805127.589975
4359690.87475832;3644584.26256398;148;DEN-080;HELCOM;20kmE434N364;1177145.468986
4361971.34245259;3644132.62241113;149;DEN-080;HELCOM;20kmE436N364;14652857.050192
4349173.90853545;3678649.48225912;150;DEN-081;HELCOM;20kmE434N366;6500432.010526
4349560.47886846;3680306.59820720;151;DEN-081;HELCOM;20kmE434N368;762399.763536
4348143.42629728;3684688.29851172;152;DEN-082;HELCOM;20kmE434N368;34900537.751722
4335932.80063406;3656966.24088878;153;DEN-083;HELCOM;20kmE432N364;1816600.339471
4338750.16199844;3659169.76898826;154;DEN-084;HELCOM;20kmE432N364;3321081.202851
4340600.75927194;3659689.59708264;155;DEN-084;HELCOM;20kmE434N364;839148.437890
4337874.54310831;3669724.19656131;156;DEN-084;HELCOM;20kmE432N366;73261318.932820
4345278.96813806;3669715.89448420;157;DEN-084;HELCOM;20kmE434N366;175577898.621784
4339878.50330098;3680113.89069210;158;DEN-084;HELCOM;20kmE432N368;61545.642577
4344415.74394363;3681881.88071556;159;DEN-084;HELCOM;20kmE434N368;22886835.297921
4477700.02594320;3579718.50803590;160;DEN-093;HELCOM;20kmE446N356;807674.496331
4459911.29302725;3598475.32218477;161;DEN-093;HELCOM;20kmE444N358;267438.199565
4471965.18446885;3593773.48558651;162;DEN-093;HELCOM;20kmE446N358;218865447.856530
4481748.60404312;3595390.15281096;163;DEN-093;HELCOM;20kmE448N358;36273212.639559
4471947.26604194;3606210.91176738;164;DEN-093;HELCOM;20kmE446N360;214312428.898598
4486856.19869991;3606587.60676676;165;DEN-093;HELCOM;20kmE448N360;123434003.457460
4388949.69301062;3590974.79563138;166;DEN-094;HELCOM;20kmE438N358;46658640.170800
4378838.00410142;3617873.87759270;167;DEN-094;HELCOM;20kmE436N360;7580824.061780
4387280.38124780;3609915.60283949;168;DEN-094;HELCOM;20kmE438N360;138425660.851416
4375851.58356570;3624209.32512416;169;DEN-094;HELCOM;20kmE436N362;10524831.210120
4419866.43625099;3539294.24299252;170;DEN-096;HELCOM;20kmE440N352;336379.466565
4426190.07363962;3537913.52845689;171;DEN-096;HELCOM;20kmE442N352;49401227.031820
4396428.49965439;3550887.59054651;172;DEN-096;HELCOM;20kmE438N354;127024700.158387
4409947.54534664;3551665.01436401;173;DEN-096;HELCOM;20kmE440N354;332180177.781053
4427883.80967577;3548282.00055814;174;DEN-096;HELCOM;20kmE442N354;269090507.347704
4440074.11954530;3546214.77675006;175;DEN-096;HELCOM;20kmE444N354;83362.509984
4394749.88784122;3570194.57508347;176;DEN-096;HELCOM;20kmE438N356;170402709.108576
4409863.55731343;3563189.44861358;177;DEN-096;HELCOM;20kmE440N356;125411583.103357
4424056.32440832;3562514.28839477;178;DEN-096;HELCOM;20kmE442N356;45144753.056732
4390670.43627113;3581392.71343660;179;DEN-096;HELCOM;20kmE438N358;12372889.760485
4387044.18420244;3525759.57876179;180;DEN-097;HELCOM;20kmE438N352;50549782.322709
4417525.52716563;3498842.34445609;181;DEN-098;HELCOM;20kmE440N348;11166721.837466
4430120.07727145;3497417.52440376;182;DEN-098;HELCOM;20kmE442N348;61344560.271821
4444245.46954903;3495438.56476135;183;DEN-098;HELCOM;20kmE444N348;20220004.052990
4391581.00983558;3514273.77628732;184;DEN-098;HELCOM;20kmE438N350;44316419.831450
4407467.62410421;3505775.96433399;185;DEN-098;HELCOM;20kmE440N350;42324180.529909
4420577.02324244;3500070.42465994;186;DEN-098;HELCOM;20kmE442N350;182864.995329
4418947.98190557;3499873.14072482;187;DEN-099;HELCOM;20kmE440N348;286545.932844
4433990.97060299;3499233.95872503;188;DEN-099;HELCOM;20kmE442N348;20657930.437995
4443225.10417293;3498153.95151452;189;DEN-099;HELCOM;20kmE444N348;19964347.944140
4418192.42313844;3502091.23424491;190;DEN-099;HELCOM;20kmE440N350;14960320.392203
