TYPOLOGY	GRIDCODE	PARAM	VALUE	n	CountryCode	QE	Unit	Mean	Resp	GoodMod	EutRatio	EutClass
BG	100kmE58N23	Secchi_m	3.2	2		3	m	ar_mean	-	9	2.8125	4
RO	20kmE578N250	Secchi_m	1.5	2		3	m	ar_mean	-	9	6	5
RO	20kmE578N252	Secchi_m	3	1		3	m	ar_mean	-	9	3	4
RO	20kmE580N246	Secchi_m	3.5475	4		3	m	ar_mean	-	9	2.5369978858351	4
RO	20kmE580N248	Secchi_m	2.84	8		3	m	ar_mean	-	9	3.16901408450704	4
RO	20kmE580N250	Secchi_m	3	5		3	m	ar_mean	-	9	3	4
RO	20kmE580N252	Secchi_m	3.63333333333333	3		3	m	ar_mean	-	9	2.47706422018349	4
RO	20kmE580N254	Secchi_m	2.145	2		3	m	ar_mean	-	9	4.1958041958042	4
RO	20kmE580N258	Secchi_m	2	3		3	m	ar_mean	-	9	4.5	4
RO	20kmE582N258	Secchi_m	2.7	2		3	m	ar_mean	-	9	3.33333333333333	4
RO	20kmE584N258	Secchi_m	3.25	2		3	m	ar_mean	-	9	2.76923076923077	4
RO	20kmE584N262	Secchi_m	1.57125	5		3	m	ar_mean	-	9	5.72792362768496	5
RO	20kmE584N264	Secchi_m	1.3	2		3	m	ar_mean	-	9	6.92307692307692	5
RO	20kmE586N264	Secchi_m	1.43166666666667	6		3	m	ar_mean	-	9	6.28637951105937	5
Type I	20kmE374N218	chl_a_ug	30.9869792706729	11		2	µg/L	geo_mean	+	6.3	4.91856813820205	4
Type I	20kmE374N220	chl_a_ug	1.10035838682504	24		2	µg/L	geo_mean	+	6.3	0.174660061400801	1
Type I	20kmE374N222	chl_a_ug	1.12160965884776	22		2	µg/L	geo_mean	+	6.3	0.178033279182184	1
Type I	20kmE374N224	chl_a_ug	3.31875533303077	68		2	µg/L	geo_mean	+	6.3	0.526786560798535	2
Type I	20kmE376N226	chl_a_ug	26.6679911005299	20		2	µg/L	geo_mean	+	6.3	4.23301446040157	4
Type I	20kmE378N226	chl_a_ug	9.85854113546302	12		2	µg/L	geo_mean	+	6.3	1.56484779927985	3
Type I	20kmE382N228	chl_a_ug	7.26448921698179	333		2	µg/L	geo_mean	+	6.3	1.15309352650505	3
Type I	20kmE384N228	chl_a_ug	6.89538677975184	32		2	µg/L	geo_mean	+	6.3	1.09450583805585	3
Type I	20kmE388N226	chl_a_ug	1.14301689719722	129		2	µg/L	geo_mean	+	6.3	0.181431253523368	1
Type I	20kmE390N226	chl_a_ug	0.624579705785382	257		2	µg/L	geo_mean	+	6.3	0.0991396358389496	1
Type I	20kmE418N184	chl_a_ug	1.74134869266393	48		2	µg/L	geo_mean	+	6.3	0.276404554391099	1
Type I	20kmE418N186	chl_a_ug	0.831081159677166	36		2	µg/L	geo_mean	+	6.3	0.131917644393201	1
Type I	20kmE426N208	chl_a_ug	6.3765022145424	9		2	µg/L	geo_mean	+	6.3	1.01214320865752	3
Type I	20kmE426N216	chl_a_ug	10.2755647785873	20		2	µg/L	geo_mean	+	6.3	1.63104202834719	3
Type I	20kmE448N238	chl_a_ug	53.4293104386217	29		2	µg/L	geo_mean	+	6.3	8.48084292676535	5
Type I	20kmE448N240	chl_a_ug	16.535240226388	24		2	µg/L	geo_mean	+	6.3	2.62464130577587	4
Type I	20kmE450N234	chl_a_ug	5.45036270938763	679		2	µg/L	geo_mean	+	6.3	0.865136937998037	2
Type I	20kmE450N236	chl_a_ug	3.26436695690132	1378		2	µg/L	geo_mean	+	6.3	0.518153485222432	2
Type I	20kmE450N238	chl_a_ug	4.45900055621348	1685		2	µg/L	geo_mean	+	6.3	0.707777866065631	2
Type I	20kmE450N240	chl_a_ug	4.57028686264083	750		2	µg/L	geo_mean	+	6.3	0.725442359149339	2
