GRIDCODE	PARAM	VALUE	n	QE	Unit	Months	Mean	Resp	DepthLimit	PoorBad	ModPoor	GoodMod	HiGood	EutRatio	EutClass	EutClass1
100kmE58N22	Chla_ug	1.6067259032255	4	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	1.6067259032255	3	3
100kmE58N22	DO_mg	4.308	5	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.928505106778087	2	2
100kmE58N22	NO23N_ug	16.854086276695	8	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	1.6854086276695	3	3
100kmE58N22	Secchi_m	7.88695652173913	46	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.14112458654906	3	3
100kmE58N22	TP_ug	3.36977013115571	7	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	0.481395733022245	1	1
100kmE59N22	DO_mg	5	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.8	2	2
100kmE59N22	NO23N_ug	9.48599098574049	4	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	0.948599098574049	2	2
100kmE59N22	Secchi_m	12.8421052631579	19	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.700819672131147	2	2
100kmE59N22	TP_ug	5.98639713308478	4	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	0.855199590440683	2	2
100kmE65N18	DO_mg	7.21	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.554785020804438	2	2
100kmE65N18	Secchi_m	28	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.321428571428571	1	1
100kmE66N18	DO_mg	6.39	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.625978090766823	2	2
100kmE66N18	Secchi_m	19	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.473684210526316	1	1
100kmE67N25	DO_mg	4.745	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.842992623814542	2	2
100kmE67N25	NO23N_ug	2.48756327552983	4	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	0.248756327552983	1	1
100kmE67N25	Secchi_m	12.8	15	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.703125	2	2
100kmE67N25	TP_ug	2.42866104491125	4	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	0.346951577844465	1	1
20kmE566N208	DO_mg	6.765	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.591278640059128	2	2
20kmE566N208	Secchi_m	6.03333333333333	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.49171270718232	3	3
20kmE566N210	DO_mg	7.72	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.518134715025907	2	2
20kmE566N210	Secchi_m	1.875	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	4.8	5	4
20kmE568N194	Secchi_m	25	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.36	1	1
20kmE568N198	DO_mg	7.09	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.564174894217207	2	2
20kmE568N198	Secchi_m	16.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.545454545454546	1	2
20kmE568N200	DO_mg	7.54	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.530503978779841	2	2
20kmE568N200	Secchi_m	18	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.5	1	1
20kmE568N202	DO_mg	7.795	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.513149454778704	2	2
20kmE568N202	Secchi_m	13.5	4	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.666666666666667	2	2
20kmE568N204	DO_mg	6.79	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.589101620029455	2	2
20kmE568N204	Secchi_m	15	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.6	1	2
20kmE568N206	DO_mg	6.23	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.642054574638844	2	2
20kmE568N206	Secchi_m	13.25	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.679245283018868	2	2
20kmE570N196	Secchi_m	24	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.375	1	1
20kmE570N204	Secchi_m	10	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.9	2	2
20kmE570N208	DO_mg	7.04	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.568181818181818	2	2
20kmE570N208	Secchi_m	21	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.428571428571429	1	1
20kmE572N188	Chla_ug	0.1	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.1	1	1
20kmE572N188	DO_mg	6.87	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.582241630276565	2	2
20kmE572N188	Secchi_m	29	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.310344827586207	1	1
20kmE572N196	Chla_ug	0.447213595499958	2	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.447213595499958	1	1
20kmE572N196	DO_mg	6.82333333333333	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.586223742061553	2	2
20kmE572N196	Secchi_m	21.4	5	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.420560747663551	1	1
20kmE572N206	DO_mg	6.83	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.585651537335286	2	2
20kmE572N206	Secchi_m	8.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.05882352941176	3	3
20kmE572N210	DO_mg	7.1	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.563380281690141	2	2
