ID	Category	SAUID	IndicatorID	SAU	SpatialAssessmentUnit	Indicator	Unit	IndType	Bad	Threshold	Reference	Status
1	Benthic	22	127	Kiel Bay 	Kiel Bay  - open sea	State of the soft-bottom macrofauna community	index	1	0	0.5	1	0.65
2	Benthic	23	127	Bay of Mecklenburg 	Bay of Mecklenburg  - open sea	State of the soft-bottom macrofauna community	index	1	0	0.5	1	0.41
3	Benthic	27	127	Eastern Gotland Basin 	Eastern Gotland Basin  - open sea	State of the soft-bottom macrofauna community	index	1	0	0.5	1	0.66
4	Benthic	28	127	Western Gotland Basin 	Western Gotland Basin  - open sea	State of the soft-bottom macrofauna community	index	1	0	4	10.9	4.47
5	Benthic	29	127	Gulf of Riga 	Gulf of Riga  - open sea	State of the soft-bottom macrofauna community	index	1	0	0.5	1	0.55
6	Benthic	30	127	Northern Baltic Proper 	Northern Baltic Proper  - open sea	State of the soft-bottom macrofauna community	index	1	0	4	11	5.61
7	Benthic	31	127	Gulf of Finland 	Gulf of Finland  - open sea	State of the soft-bottom macrofauna community	index	1	0	0.5	1	0.53
8	Benthic	32	127	Åland Sea 	Åland Sea  - open sea	State of the soft-bottom macrofauna community	index	1	0	4	10.8	6.56
9	Benthic	33	127	Bothnian Sea 	Bothnian Sea  - open sea	State of the soft-bottom macrofauna community	index	1	0	4	12.6	6.3
10	Benthic	34	127	The Quark 	The Quark  - open sea	State of the soft-bottom macrofauna community	index	1	0	1.5	7.7	2.98
11	Benthic	35	127	Bothnian Bay	Bothnian Bay - open sea	State of the soft-bottom macrofauna community	index	1	0	1.5	8.2	4.72
12	Benthic	25	186	Bornholm Basin	Bornholm Basin	Oxygen Debt		1	7.33	6.37	0.96	6.84
13	Benthic	26	186	Gdansk Basin Polish Coastal waters	Gulf of Gdansk	Oxygen Debt		1	10.47	8.66	3.24	9.26
14	Benthic	27	186	Eastern Gotland Basin	Eastern Gotland Basin	Oxygen Debt		1	10.47	8.66	3.24	9.26
15	Benthic	28	186	Western Gotland Basin	Western Gotland Basin	Oxygen Debt		1	10.47	8.66	3.24	9.26
16	Benthic	30	186	Northern Baltic Proper	Northern Baltic Proper	Oxygen Debt		1	10.47	8.66	3.24	9.26
17	Benthic	31	186	Gulf of Finland	Gulf of Finland	Oxygen Debt		1	10.47	8.66	3.24	9.26
18	Benthic	114	272	GER-001	GER-001	Zoobenthos Quality element	EQR	1	0	0.6	1	0.571428597
19	Benthic	115	272	GER-002	GER-002	Zoobenthos Quality element	EQR	1	0	0.6	1	0.612244886
20	Benthic	116	272	GER-003	GER-003	Zoobenthos Quality element	EQR	1	0	0.6	1	0.491803267
21	Benthic	117	272	GER-004	GER-004	Zoobenthos Quality element	EQR	1	0	0.6	1	0.521739141
22	Benthic	118	272	GER-005	GER-005	Zoobenthos Quality element	EQR	1	0	0.6	1	0.550458699
23	Benthic	119	272	GER-006	GER-006	Zoobenthos Quality element	EQR	1	0	0.6	1	0.410958893
24	Benthic	120	272	GER-007	GER-007	Zoobenthos Quality element	EQR	1	0	0.6	1	0.05
25	Benthic	121	272	GER-008	GER-008	Zoobenthos Quality element	EQR	1	0	0.6	1	0.428571436
26	Benthic	122	272	GER-009	GER-009	Zoobenthos Quality element	EQR	1	0	0.6	1	0.379746825
27	Benthic	123	272	GER-010	GER-010	Zoobenthos Quality element	EQR	1	0	0.6	1	0.631578955
