Indicator	SubGroup	Group	QE	Exclude	Comment
Furcellaria lumbricalis depth distribution	Macroalgae	Benthic	Biology		
Zoobenthos Quality element (B)	Benthic fauna	Benthic	Biology		
State of the soft-bottom macrofauna community	Benthic fauna	Benthic	Biology		
Oxygen Debt	Supporting	Benthic	Biology		
Proportion of perennial species	Macrophytes	Benthic	Biology		
Zoobenthos Quality element	Benthic fauna	Benthic	Biology		
Benthic Quality Index	Benthic fauna	Benthic	Biology		
Secchi Depth	Supporting	Benthic	Biology	1	this is included in supporting indicators
Secchi depth	Supporting	Benthic	Biology	1	this is included in supporting indicators
BBI	Benthic fauna	Benthic	Biology		
DKI	Benthic fauna	Benthic	Biology		
Oxygen	Supporting	Benthic	Biology	1	this is included in supporting indicators
Abundance of waterbirds in the breeding season - benthic feeders	Benthic Feeders	Birds	Biology		
Abundance of waterbirds in the wintering season - benthic feeders	Benthic Feeders	Birds	Biology		
Abundance of waterbirds in the breeding season - grazing feeders	Grazing Feeders	Birds	Biology		
Abundance of waterbirds in the wintering season - grazing feeders	Grazing Feeders	Birds	Biology		
Abundance of waterbirds in the breeding season - pelagic feeders	Pelagic Feeders	Birds	Biology		
Abundance of waterbirds in the wintering season - pelagic feeders	Pelagic Feeders	Birds	Biology		
Abundance of waterbirds in the breeding season - surface feeders	Surface Feeders	Birds	Biology		
Abundance of waterbirds in the wintering season - surface feeders	Surface Feeders	Birds	Biology		
Abundance of waterbirds in the breeding season - wading feeders	Wading Feeders	Birds	Biology		
Abundance of coastal fish key functional groups - Cyprinids/mesopredators	Cyprinids/Mesopredators	Fish	Biology		
Abundance of key coastal fish species - Flounder	Flounder	Fish	Biology		
Abundance of key coastal fish species - Perch	Perch	Fish	Biology		
Abundance of coastal fish key functional groups - Piscivores	Piscivores	Fish	Biology		
Fucus vesiculosus depth distribution	Macroalgae	Benthic	Biology		
Macrophytes macroflora depth distribution	Macrophytes	Benthic	Biology		
Macrovegetation Quality element (SM1)	Macrophytes	Benthic	Biology		
Macrophytes sheltered	Macrophytes	Benthic	Biology		
Macrovegetation Quality element	Macrophytes	Benthic	Biology		
