Country	ID	GRIDCODE	AREA	Category	Parameter	Obs	Threshold	Response	weight	ER
HELCOM	DEN-005	20kmE438N358	7840105.626992	3	Zoobenthos Quality element	0.709999979	0.68	-	1	0.957746507200953
HELCOM	DEN-006	20kmE440N356	9531225.974067	2	Chlorophyll a, Summer	1	2.1	+	1	0.476190476190476
HELCOM	DEN-006	20kmE440N356	9531225.974067	3	Zoobenthos Quality element	0.649999976	0.68	-	1	1.04615388478107
HELCOM	DEN-007	20kmE440N356	6525073.063598	2	Chlorophyll a, Summer	1.5	2.1	+	1	0.714285714285714
HELCOM	DEN-009	20kmE438N356	99981.494578	2	Chlorophyll a, Summer	3.099999905	2.1	+	1	1.47619043095238
HELCOM	DEN-009	20kmE438N356	99981.494578	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4.1	-	1	1.10810809373265
HELCOM	DEN-009	20kmE440N356	5153882.965228	2	Chlorophyll a, Summer	3.099999905	2.1	+	1	1.47619043095238
HELCOM	DEN-009	20kmE440N356	5153882.965228	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4.1	-	1	1.10810809373265
HELCOM	DEN-010	20kmE438N358	94096883.058593	2	Chlorophyll a, Summer	1.399999976	2.1	+	1	0.666666655238095
HELCOM	DEN-010	20kmE438N358	94096883.058593	3	Depth limit of eelgrass (macrophytes), Summer	3	4.1	-	1	1.36666666666667
HELCOM	DEN-010	20kmE438N360	9397269.238154	2	Chlorophyll a, Summer	1.399999976	2.1	+	1	0.666666655238095
HELCOM	DEN-010	20kmE438N360	9397269.238154	3	Depth limit of eelgrass (macrophytes), Summer	3	4.1	-	1	1.36666666666667
HELCOM	DEN-011	20kmE436N362	31430748.125544	2	Chlorophyll a, Summer	1.399999976	1.6	+	1	0.874999985
HELCOM	DEN-011	20kmE436N362	31430748.125544	3	Zoobenthos Quality element	0.800000012	0.68	-	1	0.84999998725
HELCOM	DEN-011	20kmE436N362	31430748.125544	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	9	-	1	1.52542370425165
HELCOM	DEN-011	20kmE438N362	258477035.400969	2	Chlorophyll a, Summer	1.399999976	1.6	+	1	0.874999985
HELCOM	DEN-011	20kmE438N362	258477035.400969	3	Zoobenthos Quality element	0.800000012	0.68	-	1	0.84999998725
HELCOM	DEN-011	20kmE438N362	258477035.400969	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	9	-	1	1.52542370425165
HELCOM	DEN-011	20kmE440N362	98023828.066718	2	Chlorophyll a, Summer	1.399999976	1.6	+	1	0.874999985
HELCOM	DEN-011	20kmE440N362	98023828.066718	3	Zoobenthos Quality element	0.800000012	0.68	-	1	0.84999998725
HELCOM	DEN-011	20kmE440N362	98023828.066718	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	9	-	1	1.52542370425165
HELCOM	DEN-011	20kmE438N364	218854926.975518	2	Chlorophyll a, Summer	1.399999976	1.6	+	1	0.874999985
HELCOM	DEN-011	20kmE438N364	218854926.975518	3	Zoobenthos Quality element	0.800000012	0.68	-	1	0.84999998725
HELCOM	DEN-011	20kmE438N364	218854926.975518	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	9	-	1	1.52542370425165
HELCOM	DEN-011	20kmE440N364	185601327.98799	2	Chlorophyll a, Summer	1.399999976	1.6	+	1	0.874999985
HELCOM	DEN-011	20kmE440N364	185601327.98799	3	Zoobenthos Quality element	0.800000012	0.68	-	1	0.84999998725
HELCOM	DEN-011	20kmE440N364	185601327.98799	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	9	-	1	1.52542370425165
HELCOM	DEN-012	20kmE436N360	1067635.684635	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-012	20kmE436N360	1067635.684635	3	Zoobenthos Quality element	0.629999995	0.68	-	1	1.07936508793147
HELCOM	DEN-012	20kmE436N360	1067635.684635	3	Depth limit of eelgrass (macrophytes), Summer	3.599999905	7.3	-	1	2.02777783128858
HELCOM	DEN-012	20kmE438N360	14553368.793771	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-012	20kmE438N360	14553368.793771	3	Zoobenthos Quality element	0.629999995	0.68	-	1	1.07936508793147
HELCOM	DEN-012	20kmE438N360	14553368.793771	3	Depth limit of eelgrass (macrophytes), Summer	3.599999905	7.3	-	1	2.02777783128858
HELCOM	DEN-012	20kmE436N362	11467416.437163	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-012	20kmE436N362	11467416.437163	3	Zoobenthos Quality element	0.629999995	0.68	-	1	1.07936508793147
HELCOM	DEN-012	20kmE436N362	11467416.437163	3	Depth limit of eelgrass (macrophytes), Summer	3.599999905	7.3	-	1	2.02777783128858
HELCOM	DEN-012	20kmE438N362	16469412.93187	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-012	20kmE438N362	16469412.93187	3	Zoobenthos Quality element	0.629999995	0.68	-	1	1.07936508793147
HELCOM	DEN-012	20kmE438N362	16469412.93187	3	Depth limit of eelgrass (macrophytes), Summer	3.599999905	7.3	-	1	2.02777783128858
HELCOM	DEN-013	20kmE438N352	3623870.317455	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-013	20kmE438N352	3623870.317455	3	Depth limit of eelgrass (macrophytes), Summer	6.699999809	6.8	-	1	1.01492540206728
HELCOM	DEN-013	20kmE440N352	127971351.713723	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-013	20kmE440N352	127971351.713723	3	Depth limit of eelgrass (macrophytes), Summer	6.699999809	6.8	-	1	1.01492540206728
HELCOM	DEN-013	20kmE442N352	51769790.773535	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-013	20kmE442N352	51769790.773535	3	Depth limit of eelgrass (macrophytes), Summer	6.699999809	6.8	-	1	1.01492540206728
HELCOM	DEN-013	20kmE438N354	13315425.870416	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-013	20kmE438N354	13315425.870416	3	Depth limit of eelgrass (macrophytes), Summer	6.699999809	6.8	-	1	1.01492540206728
HELCOM	DEN-013	20kmE440N354	53538162.501119	2	Chlorophyll a, Summer	1.700000048	2.1	+	1	0.809523832380952
HELCOM	DEN-013	20kmE440N354	53538162.501119	3	Depth limit of eelgrass (macrophytes), Summer	6.699999809	6.8	-	1	1.01492540206728
HELCOM	DEN-014	20kmE442N356	15456845.969196	2	Chlorophyll a, Summer	7.199999809	3.6	+	1	1.99999994694444
HELCOM	DEN-014	20kmE442N356	15456845.969196	3	Zoobenthos Quality element	0.689999998	0.68	-	1	0.985507249233354
HELCOM	DEN-015	20kmE442N354	4207616.730741	2	Chlorophyll a, Summer	1.299999952	2.1	+	1	0.619047596190476
HELCOM	DEN-015	20kmE442N356	12903461.109568	2	Chlorophyll a, Summer	1.299999952	2.1	+	1	0.619047596190476
HELCOM	DEN-016	20kmE442N354	40902508.273623	2	Chlorophyll a, Summer	1.899999976	2.1	+	1	0.904761893333333
HELCOM	DEN-016	20kmE442N354	40902508.273623	3	Depth limit of eelgrass (macrophytes), Summer	4.900000095	4.1	-	1	0.836734677655144
HELCOM	DEN-017	20kmE442N350	8477687.38226	2	Chlorophyll a, Summer	3.5	2.1	+	1	1.66666666666667
HELCOM	DEN-017	20kmE442N350	8477687.38226	3	Zoobenthos Quality element	0.779999971	0.68	-	1	0.871794904207759
HELCOM	DEN-017	20kmE442N350	8477687.38226	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4	-	1	1.08108106705625
HELCOM	DEN-017	20kmE444N350	24881169.98685	2	Chlorophyll a, Summer	3.5	2.1	+	1	1.66666666666667
HELCOM	DEN-017	20kmE444N350	24881169.98685	3	Zoobenthos Quality element	0.779999971	0.68	-	1	0.871794904207759
HELCOM	DEN-017	20kmE444N350	24881169.98685	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4	-	1	1.08108106705625
HELCOM	DEN-017	20kmE442N352	48089365.943699	2	Chlorophyll a, Summer	3.5	2.1	+	1	1.66666666666667
HELCOM	DEN-017	20kmE442N352	48089365.943699	3	Zoobenthos Quality element	0.779999971	0.68	-	1	0.871794904207759
HELCOM	DEN-017	20kmE442N352	48089365.943699	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4	-	1	1.08108106705625
HELCOM	DEN-017	20kmE444N352	626543.862599	2	Chlorophyll a, Summer	3.5	2.1	+	1	1.66666666666667
HELCOM	DEN-017	20kmE444N352	626543.862599	3	Zoobenthos Quality element	0.779999971	0.68	-	1	0.871794904207759
HELCOM	DEN-017	20kmE444N352	626543.862599	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	4	-	1	1.08108106705625
HELCOM	DEN-018	20kmE438N350	3294191.153627	2	Chlorophyll a, Summer	1.899999976	1.5	+	1	1.26666665066667
HELCOM	DEN-018	20kmE438N352	55742998.781292	2	Chlorophyll a, Summer	1.899999976	1.5	+	1	1.26666665066667
